iter	Passed	Remaining
580	187055	134899
581	187358	134563
582	187595	134180
583	187868	133824
584	188198	133508
585	188531	133194
586	188825	132853
587	189146	132531
588	189618	132314
589	189921	131979
590	190270	131676
591	190555	131328
592	190895	131019
593	191198	130684
594	191555	130386
595	191852	130047
596	192157	129714
597	192495	129403
598	192782	129057
599	193113	128742
600	193412	128405
601	193870	128173
602	194172	127838
603	194614	127594
604	195001	127315
605	195301	126978
606	195654	126675
607	195945	126333
608	196312	126039
609	196700	125759
610	197049	125453
611	197358	125122
612	197679	124799
613	197992	124470
614	198325	124155
615	198727	123881
616	199084	123581
617	199383	123243
618	199680	122905
619	199973	122564
620	200306	122248
621	200649	121938
622	200921	121584
623	201234	121256
624	201552	120931
625	201803	120566
626	202101	120229
627	202545	119979
628	202954	119707
629	203247	119367
630	203593	119058
631	203888	118719
632	204224	118405
633	204732	118189
634	205175	117935
635	205541	117637
636	205853	117307
637	206135	116961
638	206425	116618
639	206737	116289
640	207017	115942
641	207279	115585
642	207557	115238
643	207955	114956
644	208251	114619
645	208523	114268
646	208822	113932
647	209145	113610
648	209470	113288
649	209762	112948
650	210214	112695
651	210554	112382
652	210875	112057
653	211354	111817
654	211670	111490
655	212024	111183
656	212437	110907
657	212928	110670
658	213290	110367
659	213627	110050
660	213964	109733
661	214309	109420
662	214683	109122
663	215162	108877
664	215542	108581
665	216019	108334
666	216350	108013
667	216803	107752
668	217124	107426
669	217411	107083
670	217787	106784
671	218114	106460
672	218450	106141
673	218771	105815
674	219049	105468
675	219424	105167
676	219757	104847
677	220043	104504
678	220428	104208
679	220743	103879
680	221129	103583
681	221419	103242
682	221750	102920
683	222051	102585
684	222395	102269
685	222713	101941
686	223043	101619
687	223327	101276
688	223643	100947
689	223961	100620
690	224258	100283
691	224558	99947
692	224875	99620
693	225204	99297
694	225630	99017
695	225905	98671
696	226279	98368
697	226589	98037
698	226857	97688
699	227167	97357
700	227436	97009
701	227691	96655
702	228029	96336
703	228373	96020
704	228660	95680
705	229046	95381
706	229436	95084
707	229762	94760
708	230055	94423
709	230512	94153
710	230972	93883
711	231331	93572
712	231812	93310
713	232097	92969
714	232574	92704
715	232898	92378
716	233348	92102
717	233630	91760
718	233978	91443
719	234276	91107
720	234539	90757
721	234844	90424
722	235131	90084
723	235448	89756
724	235803	89442
725	236129	89117
726	236439	88786
727	236714	88442
728	237068	88128
729	237376	87796
730	237792	87505
731	238191	87206
732	238520	86882
733	238925	86585
734	239252	86261
735	239528	85917
736	239835	85585
737	240208	85277
738	240574	84965
739	240924	84649
740	241304	84342
741	241785	84070
742	242155	83760
743	242570	83464
744	242875	83132
745	243270	82829
746	243610	82507
747	243972	82193
748	244321	81875
749	244649	81549
750	244995	81230
751	245313	80901
752	245810	80630
753	246208	80327
754	246648	80038
755	246982	79713
756	247304	79385
757	247644	79063
758	248080	78771
759	248447	78457
760	248746	78121
761	249148	77818
762	249495	77497
763	249846	77177
764	250232	76868
765	250607	76556
766	250983	76243
767	251502	75974
768	252077	75721
769	252461	75410
770	252799	75085
771	253210	74782
772	253595	74471
773	253914	74140
774	254243	73812
775	254604	73494
776	255074	73206
777	255386	72873
778	255802	72570
779	256188	72258
780	256632	71962
781	257030	71653
782	257521	71369
783	258089	71106
784	258534	70808
785	258905	70490
786	259304	70180
787	259604	69842
788	259878	69498
789	260121	69146
790	260510	68832
791	260828	68500
792	261124	68162
793	261451	67832
794	261696	67481
795	262030	67153
796	262392	66832
797	262656	66487
798	262945	66147
799	263335	65833
800	263634	65497
801	263902	65152
802	264271	64833
803	264587	64501
804	264936	64177
805	265229	63839
806	265690	63541
807	265988	63205
808	266370	62888
809	266723	62564
810	267002	62223
811	267273	61880
812	267550	61539
813	267867	61208
814	268129	60863
815	268399	60521
816	268709	60188
817	269093	59871
818	269365	59530
819	269639	59189
820	269989	58864
821	270260	58523
822	270554	58187
823	270840	57849
824	271168	57520
825	271467	57185
826	271779	56853
827	272091	56521
828	272355	56179
829	272631	55840
830	272902	55499
831	273206	55166
832	273568	54845
833	273846	54506
834	274117	54167
835	274430	53835
836	274803	53516
837	275159	53193
838	275516	52870
839	275853	52543
840	276297	52236
841	276777	51936
842	277285	51641
843	277686	51325
844	278135	51018
845	278509	50697
846	278874	50375
847	279206	50046
848	279483	49707
849	279746	49367
850	280270	49072
851	280614	48745
852	281081	48439
853	281417	48111
854	281677	47769
855	281958	47432
856	282282	47102
857	282572	46766
858	282867	46431
859	283215	46104
860	283469	45763
861	283717	45421
862	284055	45093
863	284440	44773
864	284768	44443
865	285094	44113
866	285419	43784
867	285796	43462
868	286115	43131
869	286450	42802
870	286727	42465
871	287090	42141
872	287519	41826
873	287833	41495
874	288204	41172
875	288588	40850
876	288915	40520
877	289220	40187
878	289519	39854
879	289829	39522
880	290117	39187
881	290387	38850
882	290734	38523
883	291115	38200
884	291385	37863
885	291826	37548
886	292132	37216
887	292413	36881
888	292697	36546
889	293043	36218
890	293337	35885
891	293696	35559
892	293969	35223
893	294283	34892
894	294522	34552
895	294850	34223
896	295283	33906
897	295571	33572
898	295948	33248
899	296267	32918
900	296573	32586
901	296847	32251
902	297150	31919
903	297414	31583
904	297669	31247
905	297943	30912
906	298339	30590
907	298649	30259
908	298913	29924
909	299184	29589
910	299546	29264
